image_id,source_dataset,split,class_name,source_text_reference,draft_a_translation,draft_b_translation,draft_c_translation,draft_a_flag,draft_b_flag,draft_c_flag,final_translation,resolution
tr_img_05144,ICDAR MLT-2019,held_out_from_train,Korean,"역주행,",Wrong-way driving,Driving the wrong way,Wrong-way driving,low,low,low,Wrong-way driving,majority_vote
tr_img_05241,ICDAR MLT-2019,held_out_from_train,Korean,비상전화,Emergency phone,Emergency telephone,Emergency telephone,low,low,low,Emergency telephone,majority_vote
tr_img_05299,ICDAR MLT-2019,held_out_from_train,Korean,항의길,Road of Protest,Hangui-gil,Hangui-gil,medium,medium,medium,Hangui-gil,majority_vote
tr_img_05456,ICDAR MLT-2019,held_out_from_train,Korean,머리고기 해물파전,"Pork head meat, seafood scallion pancake",Head Meat Seafood Scallion Pancake,"Pork Head Meat, Seafood Scallion Pancake",low,low,low,"Pork head meat, seafood scallion pancake",majority_vote
tr_img_06150,ICDAR MLT-2019,held_out_from_train,Japanese,深-144,Shin-144,Deep-144,Shin-144,high,low,medium,Shin-144,majority_vote
tr_img_06203,ICDAR MLT-2019,held_out_from_train,Japanese,はり紙禁止 静岡県警察本部,No posters. Shizuoka Prefectural Police Headquarters,No Posting Notices — Shizuoka Prefectural Police Headquarters,No Posting Notices — Shizuoka Prefectural Police Headquarters,low,low,low,No Posting Notices — Shizuoka Prefectural Police Headquarters,majority_vote
tr_img_06383,ICDAR MLT-2019,held_out_from_train,Japanese,館 水車町6丁目,"Building, Suishamachi 6-chome","Hall, Suishamachi 6-chome","Hall, Suishamachi 6-chome",medium,medium,medium,"Hall, Suishamachi 6-chome",majority_vote
tr_img_06430,ICDAR MLT-2019,held_out_from_train,Japanese,佐ムホ,Samuho,Samho,Samho,high,high,high,Samho,majority_vote
tr_img_06616,ICDAR MLT-2019,held_out_from_train,Japanese,きょう、 信託はじめました,"Today, we started offering trust services.","Today, we started a trust.","Today, we started a trust.",medium,low,low,"Today, we started a trust.",majority_vote
tr_img_06881,ICDAR MLT-2019,held_out_from_train,Japanese,日本の酒 シフク,Japanese Sake Shifuku,Japanese Sake Shifuku,Japanese Sake Shifuku,medium,medium,medium,Japanese Sake Shifuku,majority_vote
tr_img_08144,ICDAR MLT-2019,held_out_from_train,Bangla,বিধাননগর চলো,Let's go to Bidhannagar.,Let's go to Bidhannagar,Let's go to Bidhannagar,low,low,low,Let's go to Bidhannagar,majority_vote
tr_img_08288,ICDAR MLT-2019,held_out_from_train,Bangla,নটরাজ,Nataraj,Nataraj,Nataraj,medium,low,low,Nataraj,majority_vote
tr_img_08359,ICDAR MLT-2019,held_out_from_train,Bangla,বিপ্লব,Biplob,Revolution,Biplob,low,medium,low,Biplob,majority_vote
tr_img_08402,ICDAR MLT-2019,held_out_from_train,Bangla,নিরালা,Secluded,Nirala,Secluded,low,low,medium,Secluded,majority_vote
tr_img_08785,ICDAR MLT-2019,held_out_from_train,Bangla,পান্তউ,Pantau,Pantau,Pantu,high,medium,medium,Pantau,majority_vote
tr_img_08998,ICDAR MLT-2019,held_out_from_train,Bangla,সুমার্ট,Sumart,Smart,Sumart,medium,low,medium,Sumart,majority_vote
tr_img_09226,ICDAR MLT-2019,held_out_from_train,Hindi,कासट,Kast,Kast,Kasat,medium,medium,medium,Kast,majority_vote
tr_img_09415,ICDAR MLT-2019,held_out_from_train,Hindi,शालीन,Shalin,Shaleen,Shalin,medium,low,medium,Shalin,majority_vote
tr_img_09832,ICDAR MLT-2019,held_out_from_train,Hindi,बिमोड,Bimod,Bimod,Bimod,medium,medium,medium,Bimod,majority_vote
tr_img_09870,ICDAR MLT-2019,held_out_from_train,Hindi,समतोल,Balanced,Balance,Balanced,low,low,low,Balanced,majority_vote
train_ReCTS_018092,ReCTS,val,text,魚兒大碗面,Yu'er Big Bowl Noodles,Yu'er Big Bowl Noodles,Yu'er Big Bowl Noodles,low,medium,low,Yu'er Big Bowl Noodles,majority_vote
train_ReCTS_018101,ReCTS,val,text,陈厨小馆,Chen's Kitchen,Chef Chen's Bistro,Chef Chen's Bistro,low,low,low,Chef Chen's Bistro,majority_vote
train_ReCTS_019279,ReCTS,val,text,郭记栗王,Guo Ji Chestnut King,Guo's Chestnut King,Guo's Chestnut King,low,low,low,Guo's Chestnut King,majority_vote
train_ReCTS_019581,ReCTS,val,text,大众小吃,Dazhong Snacks,Popular Snacks,Popular Snacks,low,low,low,Popular Snacks,majority_vote
train_ReCTS_019652,ReCTS,val,text,陈五味,Chen Wuwei,Chen Wuwei,Chen Wuwei,low,medium,low,Chen Wuwei,majority_vote
train_ReCTS_019701,ReCTS,val,text,胖哥凉皮,Pang Ge Liangpi,Fat Brother Liangpi,Fat Brother Liangpi,low,low,low,Fat Brother Liangpi,majority_vote
