source_dataset,split,image_id,class_name,image_member,gt_member,selector_score,source_text_reference,target_language,target_translation_reference,annotator_1,annotator_2,notes,local_image_path,review_flag,codex_status,codex_model,codex_error
ICDAR MLT-2019,held_out_from_train,tr_img_00752,Arabic,TrainImages/TrainImages/tr_img_00752.jpg,TrainGT/TrainGT/tr_img_00752.txt,69.0946,وزارة الداخلية,en,Ministry of Interior,codex_sdk_draft,,"وزارة | Natural translation; existing note contains only ""وزارة"" (""ministry"").",images/arabic/tr_img_00752.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_08513,Bangla,TrainImages/TrainImages/tr_img_08513.jpg,TrainGT/TrainGT/tr_img_08513.txt,91.9207,উন্নয়নের,en,of development,codex_sdk_draft,,উন্নয়নের | Bangla genitive form; context could also support “development’s.”,images/bangla/tr_img_08513.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_08886,Bangla,TrainImages/TrainImages/tr_img_08886.jpg,TrainGT/TrainGT/tr_img_08886.txt,89.4529,জনপ্রিয় বস্ত্রালয়,en,Popular Clothing Store,codex_sdk_draft,,জনপ্রিয় | Natural translation of the Bangla phrase.,images/bangla/tr_img_08886.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_08336,Bangla,TrainImages/TrainImages/tr_img_08336.jpg,TrainGT/TrainGT/tr_img_08336.txt,86.5418,কন্যাশ্রী,en,Kanyashree,codex_sdk_draft,,কন্যাশ্রী | Proper noun; transliterated conservatively.,images/bangla/tr_img_08336.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_08448,Bangla,TrainImages/TrainImages/tr_img_08448.jpg,TrainGT/TrainGT/tr_img_08448.txt,82.6783,কমিটি,en,committee,codex_sdk_draft,,কমিটি | Common Bangla word meaning “committee.”,images/bangla/tr_img_08448.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_08095,Bangla,TrainImages/TrainImages/tr_img_08095.jpg,TrainGT/TrainGT/tr_img_08095.txt,84.0606,বীমা পরিষেবা,en,Insurance services,codex_sdk_draft,,বীমা | The source means “insurance services”; the existing note captures only “insurance.”,images/bangla/tr_img_08095.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_08552,Bangla,TrainImages/TrainImages/tr_img_08552.jpg,TrainGT/TrainGT/tr_img_08552.txt,82.8718,কালীতলা,en,Kalitala,codex_sdk_draft,,কালীতলা | Proper noun; transliterated conservatively.,images/bangla/tr_img_08552.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_08739,Bangla,TrainImages/TrainImages/tr_img_08739.jpg,TrainGT/TrainGT/tr_img_08739.txt,88.4957,আর্য্য ভিডিওটেক,en,Aryya Videotech,codex_sdk_draft,,আর্য্য | Proper-name/brand transliteration; preserved the likely spelling indicated by the existing note.,images/bangla/tr_img_08739.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_08624,Bangla,TrainImages/TrainImages/tr_img_08624.jpg,TrainGT/TrainGT/tr_img_08624.txt,81.6966,তামাক ক্যান্সারের,en,Tobacco cancer,codex_sdk_draft,,তামাক | Partial phrase; literally refers to “tobacco cancer” or “of tobacco cancer.”,images/bangla/tr_img_08624.jpg,medium,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_08717,Bangla,TrainImages/TrainImages/tr_img_08717.jpg,TrainGT/TrainGT/tr_img_08717.txt,83.6208,গাঁজা,en,Cannabis,codex_sdk_draft,,গাঁজা | Bangla word meaning cannabis/marijuana.,images/bangla/tr_img_08717.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_08756,Bangla,TrainImages/TrainImages/tr_img_08756.jpg,TrainGT/TrainGT/tr_img_08756.txt,86.8391,ইংরাজী ক্লাস,en,English class,codex_sdk_draft,,ইংরাজী | Clear Bangla phrase; existing note confirms “English.”,images/bangla/tr_img_08756.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_08320,Bangla,TrainImages/TrainImages/tr_img_08320.jpg,TrainGT/TrainGT/tr_img_08320.txt,83.1552,কেন?,en,Why?,codex_sdk_draft,,কেন? | Bangla question meaning “Why?”,images/bangla/tr_img_08320.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_08569,Bangla,TrainImages/TrainImages/tr_img_08569.jpg,TrainGT/TrainGT/tr_img_08569.txt,85.14,পদ্মা টী ষ্টল,en,Padma Tea Stall,codex_sdk_draft,,পদ্মা | Transliterated 'পদ্মা' as 'Padma' and translated 'টী ষ্টল' as 'Tea Stall'.,images/bangla/tr_img_08569.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_08761,Bangla,TrainImages/TrainImages/tr_img_08761.jpg,TrainGT/TrainGT/tr_img_08761.txt,83.6637,মোরগ্রাম,en,Morgram,codex_sdk_draft,,মোরগ্রাম | Proper-noun-like place name; transliterated conservatively.,images/bangla/tr_img_08761.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_08649,Bangla,TrainImages/TrainImages/tr_img_08649.jpg,TrainGT/TrainGT/tr_img_08649.txt,83.9737,কন্যাশ্রী যুবশ্রী,en,Kanyashree Yubashree,codex_sdk_draft,,কন্যাশ্রী | Proper names transliterated; Kanyashree and Yubashree are program names.,images/bangla/tr_img_08649.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_03716,Chinese,TrainImages/TrainImages/tr_img_03716.jpg,TrainGT/TrainGT/tr_img_03716.txt,92.5391,迎奥,en,Welcome the Olympics,codex_sdk_draft,,迎奥 | A shortened phrase meaning to welcome or usher in the Olympics; context is limited.,images/chinese/tr_img_03716.jpg,medium,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_03520,Chinese,TrainImages/TrainImages/tr_img_03520.jpg,TrainGT/TrainGT/tr_img_03520.txt,87.9924,小荷电视,en,Xiaohe TV,codex_sdk_draft,,小荷电视 | Proper name; transliterated conservatively.,images/chinese/tr_img_03520.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_03592,Chinese,TrainImages/TrainImages/tr_img_03592.jpg,TrainGT/TrainGT/tr_img_03592.txt,86.6837,洪客隆百货,en,Hongkelong Department Store,codex_sdk_draft,,洪客隆百货 | Proper-name/brand text; transliterated conservatively.,images/chinese/tr_img_03592.jpg,medium,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_03517,Chinese,TrainImages/TrainImages/tr_img_03517.jpg,TrainGT/TrainGT/tr_img_03517.txt,81.3997,南市食品街,en,Nanshi Food Street,codex_sdk_draft,,南市食品街 | Proper-name transliteration with a natural rendering of 食品街 as “Food Street”.,images/chinese/tr_img_03517.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_03951,Chinese,TrainImages/TrainImages/tr_img_03951.jpg,TrainGT/TrainGT/tr_img_03951.txt,80.2834,无锡东站,en,Wuxi East Railway Station,codex_sdk_draft,,无锡东站 | Proper noun; translated using the standard station-name rendering.,images/chinese/tr_img_03951.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_03333,Chinese,TrainImages/TrainImages/tr_img_03333.jpg,TrainGT/TrainGT/tr_img_03333.txt,79.9753,对手,en,opponent,codex_sdk_draft,,对手 | Natural translation of 对手.,images/chinese/tr_img_03333.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_03011,Chinese,TrainImages/TrainImages/tr_img_03011.jpg,TrainGT/TrainGT/tr_img_03011.txt,78.4612,娘子关站,en,Niangziguan Station,codex_sdk_draft,,娘子关站 | Proper noun transliterated; “站” means “Station”.,images/chinese/tr_img_03011.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_03417,Chinese,TrainImages/TrainImages/tr_img_03417.jpg,TrainGT/TrainGT/tr_img_03417.txt,78.4171,长沙县教育局,en,Changsha County Education Bureau,codex_sdk_draft,,长沙县教育局 | Natural English rendering of the organization name.,images/chinese/tr_img_03417.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_03540,Chinese,TrainImages/TrainImages/tr_img_03540.jpg,TrainGT/TrainGT/tr_img_03540.txt,78.3525,茶竹度假村,en,Chazhu Resort,codex_sdk_draft,,茶竹度假村 | Likely a proper name; transliterated conservatively.,images/chinese/tr_img_03540.jpg,medium,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_03288,Chinese,TrainImages/TrainImages/tr_img_03288.jpg,TrainGT/TrainGT/tr_img_03288.txt,78.2498,黄河博物馆,en,Yellow River Museum,codex_sdk_draft,,黄河博物馆 | Museum name translated descriptively.,images/chinese/tr_img_03288.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_03927,Chinese,TrainImages/TrainImages/tr_img_03927.jpg,TrainGT/TrainGT/tr_img_03927.txt,88.1798,清華大學,en,Tsinghua University,codex_sdk_draft,,清華大學 | Established English name for the university.,images/chinese/tr_img_03927.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_03315,Chinese,TrainImages/TrainImages/tr_img_03315.jpg,TrainGT/TrainGT/tr_img_03315.txt,94.0198,中航科技大,en,AVIC Technology…,codex_sdk_draft,,中航科技大 | Likely a partial proper name; the final character may begin a longer place or building name.,images/chinese/tr_img_03315.jpg,medium,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_03841,Chinese,TrainImages/TrainImages/tr_img_03841.jpg,TrainGT/TrainGT/tr_img_03841.txt,82.8807,2012年上海春节京剧晚会 春,en,2012 Shanghai Spring Festival Peking Opera Gala — Spring,codex_sdk_draft,,2012年上海春节京剧晚会 | The trailing character 春 means “Spring” and may be a partial or separate label.,images/chinese/tr_img_03841.jpg,medium,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_03871,Chinese,TrainImages/TrainImages/tr_img_03871.jpg,TrainGT/TrainGT/tr_img_03871.txt,92.7151,老蒸笼,en,Old Steamer,codex_sdk_draft,,老蒸笼 | Could be a restaurant or brand name; literal translation used conservatively.,images/chinese/tr_img_03871.jpg,medium,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_03983,Chinese,TrainImages/TrainImages/tr_img_03983.jpg,TrainGT/TrainGT/tr_img_03983.txt,82.3549,告示 严禁带人种上山,en,Notice: Strictly prohibited to bring people up the mountain.,codex_sdk_draft,,告示 | 带人种 is unusual and may be an OCR error for 带火种 ('carry fire sources').,images/chinese/tr_img_03983.jpg,high,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_03471,Chinese,TrainImages/TrainImages/tr_img_03471.jpg,TrainGT/TrainGT/tr_img_03471.txt,80.3329,叠翠湖,en,Diecui Lake,codex_sdk_draft,,叠翠湖 | Proper noun; transliterated conservatively.,images/chinese/tr_img_03471.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_09496,Hindi,TrainImages/TrainImages/tr_img_09496.jpg,TrainGT/TrainGT/tr_img_09496.txt,95.9501,मनाली,en,Manali,codex_sdk_draft,,मनाली | Proper noun; transliterated.,images/hindi/tr_img_09496.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_09485,Hindi,TrainImages/TrainImages/tr_img_09485.jpg,TrainGT/TrainGT/tr_img_09485.txt,95.9239,बेकरी,en,Bakery,codex_sdk_draft,,बेकरी | Common Hindi loanword; translated naturally.,images/hindi/tr_img_09485.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_09416,Hindi,TrainImages/TrainImages/tr_img_09416.jpg,TrainGT/TrainGT/tr_img_09416.txt,95.8315,राजगड,en,Rajgad,codex_sdk_draft,,राजगड | Proper noun; transliterated as “Rajgad”.,images/hindi/tr_img_09416.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_09880,Hindi,TrainImages/TrainImages/tr_img_09880.jpg,TrainGT/TrainGT/tr_img_09880.txt,94.9039,विनयराज,en,Vinayraj,codex_sdk_draft,,विनयराज | Proper name transliterated.,images/hindi/tr_img_09880.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_09935,Hindi,TrainImages/TrainImages/tr_img_09935.jpg,TrainGT/TrainGT/tr_img_09935.txt,94.1846,इंटिरिअर,en,Interior,codex_sdk_draft,,इंटिरिअर | Transliteration of the English loanword “Interior”.,images/hindi/tr_img_09935.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_09529,Hindi,TrainImages/TrainImages/tr_img_09529.jpg,TrainGT/TrainGT/tr_img_09529.txt,92.6112,मच्छरदाणी,en,mosquito net,codex_sdk_draft,,मच्छरदाणी | Direct Hindi translation.,images/hindi/tr_img_09529.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_09301,Hindi,TrainImages/TrainImages/tr_img_09301.jpg,TrainGT/TrainGT/tr_img_09301.txt,92.0895,राम मंदिर,en,Ram Temple,codex_sdk_draft,,राम | Clear Hindi phrase; राम is the proper name Ram.,images/hindi/tr_img_09301.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_09930,Hindi,TrainImages/TrainImages/tr_img_09930.jpg,TrainGT/TrainGT/tr_img_09930.txt,90.3853,रामनगर,en,Ramnagar,codex_sdk_draft,,रामनगर | Proper noun transliterated.,images/hindi/tr_img_09930.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_09258,Hindi,TrainImages/TrainImages/tr_img_09258.jpg,TrainGT/TrainGT/tr_img_09258.txt,89.8234,धर्मशाला,en,Dharamshala,codex_sdk_draft,,धर्मशाला | Transliterated as a likely proper noun.,images/hindi/tr_img_09258.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_09111,Hindi,TrainImages/TrainImages/tr_img_09111.jpg,TrainGT/TrainGT/tr_img_09111.txt,88.7262,अत्रेय सोसायटी,en,Atreya Society,codex_sdk_draft,,अत्रेय | Proper name transliterated; “सोसायटी” means “Society.”,images/hindi/tr_img_09111.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_09562,Hindi,TrainImages/TrainImages/tr_img_09562.jpg,TrainGT/TrainGT/tr_img_09562.txt,88.2194,हिमगौरी,en,Himgauri,codex_sdk_draft,,हिमगौरी | Proper name transliterated conservatively.,images/hindi/tr_img_09562.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_09561,Hindi,TrainImages/TrainImages/tr_img_09561.jpg,TrainGT/TrainGT/tr_img_09561.txt,88.1185,लॉटरी सेंटर,en,Lottery Center,codex_sdk_draft,,लॉटरी | Straightforward translation; existing note indicates lottery.,images/hindi/tr_img_09561.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_09267,Hindi,TrainImages/TrainImages/tr_img_09267.jpg,TrainGT/TrainGT/tr_img_09267.txt,87.785,सुचित्रा टेरेस,en,Suchitra Terrace,codex_sdk_draft,,सुचित्रा | Proper name; transliterated “Suchitra” and translated “Terrace.”,images/hindi/tr_img_09267.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_09735,Hindi,TrainImages/TrainImages/tr_img_09735.jpg,TrainGT/TrainGT/tr_img_09735.txt,87.8069,श्रीनिवास पार्क,en,Srinivas Park,codex_sdk_draft,,श्रीनिवास | Proper noun; transliterated conservatively.,images/hindi/tr_img_09735.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_06622,Japanese,TrainImages/TrainImages/tr_img_06622.jpg,TrainGT/TrainGT/tr_img_06622.txt,81.8644,入口,en,Entrance,codex_sdk_draft,,入口 | Clear Japanese word meaning “entrance.”,images/japanese/tr_img_06622.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_06121,Japanese,TrainImages/TrainImages/tr_img_06121.jpg,TrainGT/TrainGT/tr_img_06121.txt,80.8103,北海学園,en,Hokkai Gakuen,codex_sdk_draft,,北海学園 | Proper noun transliterated.,images/japanese/tr_img_06121.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_06607,Japanese,TrainImages/TrainImages/tr_img_06607.jpg,TrainGT/TrainGT/tr_img_06607.txt,79.795,東日パ一クビル,en,Tonichi Park Building,codex_sdk_draft,,東日パ一クビル | Likely OCR variant of 東日パークビル; transliterated conservatively as a proper noun.,images/japanese/tr_img_06607.jpg,medium,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_06545,Japanese,TrainImages/TrainImages/tr_img_06545.jpg,TrainGT/TrainGT/tr_img_06545.txt,79.7014,三越前駅,en,Mitsukoshimae Station,codex_sdk_draft,,三越前駅 | Japanese station name; transliterated.,images/japanese/tr_img_06545.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_06342,Japanese,TrainImages/TrainImages/tr_img_06342.jpg,TrainGT/TrainGT/tr_img_06342.txt,78.8325,ダストピット,en,Dust Pit,codex_sdk_draft,,ダストピット | Katakana transliteration; likely a name or sign label.,images/japanese/tr_img_06342.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_06453,Japanese,TrainImages/TrainImages/tr_img_06453.jpg,TrainGT/TrainGT/tr_img_06453.txt,75.7388,渋江ビル,en,Shibue Building,codex_sdk_draft,,渋江ビル | Proper name; transliterated 渋江 as Shibue and translated ビル as Building.,images/japanese/tr_img_06453.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_06643,Japanese,TrainImages/TrainImages/tr_img_06643.jpg,TrainGT/TrainGT/tr_img_06643.txt,72.7575,毎週水曜日定休日,en,Closed every Wednesday,codex_sdk_draft,,毎週水曜日定休日 | Clear notice indicating a weekly Wednesday closure.,images/japanese/tr_img_06643.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_06070,Japanese,TrainImages/TrainImages/tr_img_06070.jpg,TrainGT/TrainGT/tr_img_06070.txt,73.5555,日本橋,en,Nihonbashi,codex_sdk_draft,,日本橋 | Proper noun transliterated conservatively.,images/japanese/tr_img_06070.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_06310,Japanese,TrainImages/TrainImages/tr_img_06310.jpg,TrainGT/TrainGT/tr_img_06310.txt,84.5955,5村上公民館,en,5 Murakami Community Center,codex_sdk_draft,,5村上公民館 | Likely a leading number followed by the proper name “Murakami Community Center.”,images/japanese/tr_img_06310.jpg,medium,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_06984,Japanese,TrainImages/TrainImages/tr_img_06984.jpg,TrainGT/TrainGT/tr_img_06984.txt,77.491,川崎市中原区木月 高山貞一郎,en,"Kizuki, Nakahara Ward, Kawasaki City — Takayama Teiichiro",codex_sdk_draft,,川崎市中原区木月 | Japanese address followed by a personal name; transliterated conservatively.,images/japanese/tr_img_06984.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_06186,Japanese,TrainImages/TrainImages/tr_img_06186.jpg,TrainGT/TrainGT/tr_img_06186.txt,72.7402,日本橋 茶房,en,Nihonbashi Tea Room,codex_sdk_draft,,日本橋 | Nihonbashi is retained as a proper name; 茶房 means tea room.,images/japanese/tr_img_06186.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_06203,Japanese,TrainImages/TrainImages/tr_img_06203.jpg,TrainGT/TrainGT/tr_img_06203.txt,86.7975,はり紙禁止 静岡県警察本部,en,No posting. Shizuoka Prefectural Police Headquarters.,codex_sdk_draft,,静岡県警察本部 | Clear prohibition sign and proper noun.,images/japanese/tr_img_06203.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_06760,Japanese,TrainImages/TrainImages/tr_img_06760.jpg,TrainGT/TrainGT/tr_img_06760.txt,82.5892,お店です! 居酒屋,en,It's a shop! Izakaya,codex_sdk_draft,,"お店です! | 居酒屋 is transliterated as “Izakaya,” referring to a Japanese pub.",images/japanese/tr_img_06760.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_06154,Japanese,TrainImages/TrainImages/tr_img_06154.jpg,TrainGT/TrainGT/tr_img_06154.txt,78.7696,調布市 仙川町三丁目8,en,"Chofu City, Sengawa-cho 3-chome 8",codex_sdk_draft,,調布市 | Japanese address; proper names are transliterated.,images/japanese/tr_img_06154.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_05755,Korean,TrainImages/TrainImages/tr_img_05755.jpg,TrainGT/TrainGT/tr_img_05755.txt,90.861,미래하우스,en,Mirae House,codex_sdk_draft,,미래하우스 | Proper name transliterated conservatively.,images/korean/tr_img_05755.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_05054,Korean,TrainImages/TrainImages/tr_img_05054.jpg,TrainGT/TrainGT/tr_img_05054.txt,90.1694,빈그릇,en,empty bowl,codex_sdk_draft,,빈그릇 | Literal translation.,images/korean/tr_img_05054.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_05658,Korean,TrainImages/TrainImages/tr_img_05658.jpg,TrainGT/TrainGT/tr_img_05658.txt,89.5721,다양한,en,Various,codex_sdk_draft,,다양한 | Natural translation of 다양한.,images/korean/tr_img_05658.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_05601,Korean,TrainImages/TrainImages/tr_img_05601.jpg,TrainGT/TrainGT/tr_img_05601.txt,88.5732,노원점,en,Nowon branch,codex_sdk_draft,,노원점 | ‘노원’ is the place name Nowon; ‘점’ indicates a branch or store location.,images/korean/tr_img_05601.jpg,low,ok,gpt-5.6-luna,
ICDAR MLT-2019,held_out_from_train,tr_img_05217,Korean,TrainImages/TrainImages/tr_img_05217.jpg,TrainGT/TrainGT/tr_img_05217.txt,87.2813,구두수선,en,Shoe Repair,codex_sdk_draft,,구두수선 | Straightforward Korean sign text.,images/korean/tr_img_05217.jpg,low,ok,gpt-5.6-luna,
