image_id,source_dataset,split,class_name,source_text_reference,draft_a_translation,draft_a_flag,draft_b_translation,draft_b_flag,agreement,manual_review_needed,notes_a,notes_b
tr_img_01052,ICDAR MLT-2019,held_out_from_train,Latin,314,314,low,314,low,yes,no,314 | Codex failure: stream disconnected before completion: error sending request for url (https://chatgpt.com/backend-api/codex/responses) | Numeric text preserved exactly.,314 | Numeric text preserved.
tr_img_01081,ICDAR MLT-2019,held_out_from_train,Latin,EAT,EAT,low,EAT,low,yes,no,EAT | Already English.,EAT | Already English.
tr_img_01112,ICDAR MLT-2019,held_out_from_train,Latin,8712,8712,low,8712,low,yes,no,8712 | Numeric text preserved.,8712 | Numeric text; preserved unchanged.
tr_img_01121,ICDAR MLT-2019,held_out_from_train,Latin,998,998,low,998,low,yes,no,998 | Codex failure: stream disconnected before completion: error sending request for url (https://chatgpt.com/backend-api/codex/responses) | Numeric text preserved exactly.,998 | Numeric text; unchanged.
tr_img_01220,ICDAR MLT-2019,held_out_from_train,Latin,85,85,low,85,low,yes,no,85 | Numeric text preserved.,85 | Numeric text; preserved unchanged.
tr_img_01354,ICDAR MLT-2019,held_out_from_train,Latin,2421,2421,low,2421,low,yes,no,2421 | Numeric text preserved.,2421 | Numeric text preserved.
tr_img_01429,ICDAR MLT-2019,held_out_from_train,Latin,Hospital,Hospital,low,Hospital,low,yes,no,Hospital | Already English.,Hospital | Already in English.
tr_img_01441,ICDAR MLT-2019,held_out_from_train,Latin,120,120,low,120,low,yes,no,120 | Numeric text preserved unchanged.,120 | Numeric text; unchanged.
tr_img_01455,ICDAR MLT-2019,held_out_from_train,Latin,Google,Google,low,Google,low,yes,no,Google | Brand name preserved.,Google | Brand name preserved.
tr_img_01530,ICDAR MLT-2019,held_out_from_train,Latin,24,24,low,24,low,yes,no,24 | Numeric text preserved.,24 | Arabic numeral; unchanged.
tr_img_01633,ICDAR MLT-2019,held_out_from_train,Latin,61,61,low,61,low,yes,no,61 | Numeric text preserved.,61 | Numeric text; unchanged.
tr_img_01644,ICDAR MLT-2019,held_out_from_train,Latin,46,46,low,46,low,yes,no,46 | Codex failure: stream disconnected before completion: error sending request for url (https://chatgpt.com/backend-api/codex/responses) | Numeric text preserved.,46 | Numeric text preserved.
tr_img_01804,ICDAR MLT-2019,held_out_from_train,Latin,115,115,low,115,low,yes,no,115 | Numeric text unchanged.,115 | Numeric text preserved.
tr_img_01806,ICDAR MLT-2019,held_out_from_train,Latin,16781,16781,low,16781,low,yes,no,16781 | Numeric text preserved.,16781 | Numeric text preserved.
tr_img_01817,ICDAR MLT-2019,held_out_from_train,Latin,42,42,low,42,low,yes,no,42 | Numeric text; unchanged.,42 | Numeric text; unchanged.
tr_img_01835,ICDAR MLT-2019,held_out_from_train,Latin,BBC,BBC,low,BBC,low,yes,no,BBC | Brand name preserved.,BBC | Brand name/acronym preserved.
tr_img_02853,ICDAR MLT-2019,held_out_from_train,Latin,ateliers,workshops,low,workshops,low,yes,no,ateliers | French plural noun.,ateliers | French plural noun.
tr_img_03063,ICDAR MLT-2019,held_out_from_train,Chinese,易酷网吧,Yiku Internet Café,low,Yiku Internet Café,low,yes,no,易酷网吧 | 易酷 is treated as a name; 网吧 means internet café.,"易酷网吧 | 易酷 appears to be a venue name, transliterated; 网吧 means internet café."
tr_img_03148,ICDAR MLT-2019,held_out_from_train,Chinese,神木車站,Shenmu Station,low,Shenmu Station,low,yes,no,神木車站 | Codex failure: stream disconnected before completion: error sending request for url (https://chatgpt.com/backend-api/codex/responses) | Proper-noun place/station name transliterated.,神木車站 | Proper-noun transliteration; 車站 means station.
tr_img_03159,ICDAR MLT-2019,held_out_from_train,Chinese,全国现代农作物种业工作会议,National Modern Crop Seed Industry Work Conference,low,National Modern Crop Seed Industry Work Conference,low,yes,no,全国现代农作物种业工作会议 | Codex failure: stream disconnected before completion: error sending request for url (https://chatgpt.com/backend-api/codex/responses),全国现代农作物种业工作会议 | Formal conference title.
tr_img_03248,ICDAR MLT-2019,held_out_from_train,Chinese,这儿是哪儿,Where is this?,low,Where is this?,low,yes,no,这儿是哪儿 | Natural colloquial question.,这儿是哪儿 | Natural translation of the question.
tr_img_03372,ICDAR MLT-2019,held_out_from_train,Chinese,北京双舟台球俱乐部,Beijing Shuangzhou Billiards Club,low,Beijing Shuangzhou Billiards Club,low,yes,no,"北京双舟台球俱乐部 | Codex failure: stream disconnected before completion: error sending request for url (https://chatgpt.com/backend-api/codex/responses) | Proper name; 北京 = Beijing, 双舟 transliterated as Shuangzhou.",北京双舟台球俱乐部 | 北京 = Beijing; 双舟 is transliterated as Shuangzhou.
tr_img_03474,ICDAR MLT-2019,held_out_from_train,Chinese,岷江桥,Minjiang Bridge,low,Minjiang Bridge,low,yes,no,岷江桥 | Proper noun: bridge over the Minjiang River.,岷江桥 | Proper name: Minjiang River Bridge.
tr_img_03653,ICDAR MLT-2019,held_out_from_train,Chinese,员工平安,Employee Safety,low,Employee Safety,low,yes,no,员工平安 | Natural interpretation of the phrase.,员工平安 | Codex failure: stream disconnected before completion: error sending request for url (https://chatgpt.com/backend-api/codex/responses) | Straightforward phrase meaning employees are safe/secure.
tr_img_03851,ICDAR MLT-2019,held_out_from_train,Chinese,建于2000,Built in 2000,low,Built in 2000,low,yes,no,建于2000 | Clear date phrase.,建于2000 | Codex failure: stream disconnected before completion: error sending request for url (https://chatgpt.com/backend-api/codex/responses) | Clear construction date phrase.
tr_img_03914,ICDAR MLT-2019,held_out_from_train,Chinese,欢迎你们参加全国高考,Welcome to the National College Entrance Examination.,low,Welcome to the National College Entrance Examination.,low,yes,no,欢迎你们参加全国高考 | Codex failure: stream disconnected before completion: error sending request for url (https://chatgpt.com/backend-api/codex/responses) | Natural English rendering; 高考 refers to China's national college entrance examination.,欢迎你们参加全国高考 | Natural rendering of a welcome message referring to China's national college entrance exam (Gaokao).
tr_img_05012,ICDAR MLT-2019,held_out_from_train,Korean,홍보관,Promotional Hall,low,Promotional Hall,low,yes,no,홍보관 | Common Korean term for a promotional or exhibition center.,홍보관 | Common Korean term for a promotional or exhibition hall.
tr_img_05054,ICDAR MLT-2019,held_out_from_train,Korean,빈그릇,Empty bowl,low,Empty bowl,low,yes,no,빈그릇 | Common Korean phrase; literal translation.,빈그릇 | Codex failure: stream disconnected before completion: error sending request for url (https://chatgpt.com/backend-api/codex/responses) | Literal Korean translation.
tr_img_05134,ICDAR MLT-2019,held_out_from_train,Korean,소화기함,Fire extinguisher cabinet,low,Fire extinguisher cabinet,low,yes,no,소화기함 | Codex failure: stream disconnected before completion: error sending request for url (https://chatgpt.com/backend-api/codex/responses) | Clear Korean label for a cabinet containing fire extinguishers.,소화기함 | Common Korean safety sign.
tr_img_05200,ICDAR MLT-2019,held_out_from_train,Korean,월풀빨래방,Whirlpool Laundromat,low,Whirlpool Laundromat,low,yes,no,월풀빨래방 | Codex failure: stream disconnected before completion: error sending request for url (https://chatgpt.com/backend-api/codex/responses) | ‘월풀’ is the Whirlpool brand; ‘빨래방’ means laundromat.,월풀빨래방 | 월풀 is the Whirlpool brand; 빨래방 means laundromat.
tr_img_05212,ICDAR MLT-2019,held_out_from_train,Korean,우리은행,Woori Bank,low,Woori Bank,low,yes,no,우리은행 | Official bank brand name.,우리은행 | Official brand name.
tr_img_05225,ICDAR MLT-2019,held_out_from_train,Korean,팔리아멘트 수퍼슬림,Parliament Super Slim,low,Parliament Super Slim,low,yes,no,팔리아멘트 | Brand name transliterated; product variant translated naturally.,팔리아멘트 | Brand name transliterated.
tr_img_05308,ICDAR MLT-2019,held_out_from_train,Korean,흥사단,Heungsadan,low,Heungsadan,low,yes,no,흥사단 | Proper noun; transliterated.,흥사단 | Proper noun; commonly transliterated as Heungsadan.
tr_img_05316,ICDAR MLT-2019,held_out_from_train,Korean,코코리빙텔,Coco Livingtel,low,Coco Livingtel,low,yes,no,코코리빙텔 | Proper name; transliterated. 'Livingtel' is a Korean term for a small residential lodging.,코코리빙텔 | Proper-name-style Korean text; 'Livingtel' is a common Korean term for compact residential lodging.
tr_img_05370,ICDAR MLT-2019,held_out_from_train,Korean,담배,Cigarettes,low,Cigarettes,low,yes,no,담배 | Common Korean word for cigarettes/tobacco.,담배 | Common Korean word for tobacco/cigarettes.
tr_img_05658,ICDAR MLT-2019,held_out_from_train,Korean,다양한,various,low,various,low,yes,no,다양한 | Common Korean adjective; context may affect the exact noun it modifies.,다양한 | Common Korean adjective; context may affect the exact form.
tr_img_05675,ICDAR MLT-2019,held_out_from_train,Korean,샤브샤브,Shabu-shabu,low,Shabu-shabu,low,yes,no,샤브샤브 | Korean transliteration of the Japanese hot-pot dish.,샤브샤브 | Japanese-style hot pot dish name commonly used in Korean.
tr_img_05742,ICDAR MLT-2019,held_out_from_train,Korean,귀걸이,earrings,low,earrings,low,yes,no,귀걸이 | Codex failure: stream disconnected before completion: error sending request for url (https://chatgpt.com/backend-api/codex/responses) | Common Korean noun.,귀걸이 | Common Korean noun.
tr_img_05755,ICDAR MLT-2019,held_out_from_train,Korean,미래하우스,Mirae House,low,Mirae House,low,yes,no,"미래하우스 | Proper name; transliterated, with 'House' translated naturally.","미래하우스 | Proper name; 'Mirae' is transliterated, with 'House' translated."
tr_img_05805,ICDAR MLT-2019,held_out_from_train,Korean,한국현대 의상박물관,Korean Modern Costume Museum,low,Korean Modern Costume Museum,low,yes,no,한국현대 | Existing note is partial; full text reads naturally as the museum name.,한국현대 | 한국현대 means Korean modern/contemporary; 의상박물관 means costume museum.
tr_img_05984,ICDAR MLT-2019,held_out_from_train,Korean,정숙,Jeongsuk,low,Jeongsuk,low,yes,no,정숙 | A Korean personal name; transliterated conservatively.,정숙 | Korean given name; transliterated conservatively.
tr_img_06147,ICDAR MLT-2019,held_out_from_train,Japanese,まんが喫茶 受付B1,Manga Cafe Reception B1,low,Manga Cafe Reception B1,low,yes,no,まんが喫茶 | B1 likely denotes Basement 1.,まんが喫茶 | まんが喫茶 means manga cafe; 受付 is reception; B1 likely indicates basement level 1.
tr_img_06166,ICDAR MLT-2019,held_out_from_train,Japanese,JR東日本,JR East,low,JR East,low,yes,no,JR東日本 | Official English name of East Japan Railway Company.,JR東日本 | Official English name of East Japan Railway Company.
tr_img_06305,ICDAR MLT-2019,held_out_from_train,Japanese,博多えメン 長浜や,Hakata E-Men Nagahamaya,low,Hakata E-men Nagahamaya,low,yes,no,博多えメン | Likely a restaurant name; transliterated conservatively.,博多えメン | Restaurant name; transliterated.
tr_img_06623,ICDAR MLT-2019,held_out_from_train,Japanese,ココ入る,Enter here,low,Enter here,low,yes,no,ココ入る | Codex failure: stream disconnected before completion: error sending request for url (https://chatgpt.com/backend-api/codex/responses) | Natural signage-style translation of ココ入る ('enter here').,ココ入る | Natural imperative; literally “enter/go in here.”
tr_img_06672,ICDAR MLT-2019,held_out_from_train,Japanese,合流注意,Merge Ahead,low,Merge ahead,low,yes,no,合流注意 | Japanese road warning sign.,合流注意 | Road warning: watch for merging traffic.
tr_img_06693,ICDAR MLT-2019,held_out_from_train,Japanese,止マレ,STOP,low,STOP,low,yes,no,止マレ | Japanese road-marking imperative: “Stop.”,止マレ | Japanese road marking: 'tomare' (stop).
tr_img_06761,ICDAR MLT-2019,held_out_from_train,Japanese,幾度,how many times,low,How many times,low,yes,no,"幾度 | Japanese phrase meaning “how many times” or “several times,” depending on context.",幾度 | Codex failure: stream disconnected before completion: error sending request for url (https://chatgpt.com/backend-api/codex/responses) | Can also mean “several times” depending on context.
tr_img_06942,ICDAR MLT-2019,held_out_from_train,Japanese,標凖発車時刻表,Standard Departure Timetable,low,Standard Departure Timetable,low,yes,no,標凖発車時刻表 | 標凖 is a variant/likely typo of 標準 (“standard”).,標凖発車時刻表 | 標凖 is a variant spelling of 標準 ('standard'); 発車時刻表 means 'departure timetable.'
tr_img_06962,ICDAR MLT-2019,held_out_from_train,Japanese,ビデオ,Video,low,Video,low,yes,no,ビデオ | Common Japanese loanword for “video.”,ビデオ | Common Japanese loanword for “video.”
tr_img_06975,ICDAR MLT-2019,held_out_from_train,Japanese,山田,Yamada,low,Yamada,low,yes,no,山田 | Codex failure: stream disconnected before completion: error sending request for url (https://chatgpt.com/backend-api/codex/responses) | Common Japanese surname; transliterated as a proper noun.,山田 | Common Japanese surname; transliterated.
tr_img_06997,ICDAR MLT-2019,held_out_from_train,Japanese,左側通行,Keep left,low,Keep left,low,yes,no,左側通行 | Standard Japanese traffic instruction meaning left-side traffic.,"左側通行 | Standard Japanese road-sign instruction; literally, 'left-side traffic.'"
tr_img_08060,ICDAR MLT-2019,held_out_from_train,Bangla,বেলঘরিয়া,Belgharia,low,Belgharia,low,yes,no,বেলঘরিয়া | Codex failure: stream disconnected before completion: error sending request for url (https://chatgpt.com/backend-api/codex/responses) | Proper noun; transliterated.,বেলঘরিয়া | Proper noun; transliterated from Bangla.
tr_img_08082,ICDAR MLT-2019,held_out_from_train,Bangla,সাইকেল,Bicycle,low,Bicycle,low,yes,no,সাইকেল | Common Bangla word for bicycle.,সাইকেল | Clear Bangla word for bicycle.
tr_img_08116,ICDAR MLT-2019,held_out_from_train,Bangla,কমলা,Orange,low,Orange,low,yes,no,কমলা | Common Bangla word; can refer to the color or the fruit.,কমলা | Common Bangla word for the color/fruit; context is not provided.
tr_img_08208,ICDAR MLT-2019,held_out_from_train,Bangla,বেলঘরিয়া,Belgharia,low,Belgharia,low,yes,no,বেলঘরিয়া | Proper noun; transliterated from Bangla.,বেলঘরিয়া | Proper noun transliterated from Bangla.
tr_img_08213,ICDAR MLT-2019,held_out_from_train,Bangla,বই,Book,low,book,low,yes,no,বই | Common Bangla word.,বই | Bangla word meaning “book.”
tr_img_08339,ICDAR MLT-2019,held_out_from_train,Bangla,বিবেকানন্দ,Vivekananda,low,Vivekananda,low,yes,no,বিবেকানন্দ | Proper noun; standard transliteration.,বিবেকানন্দ | Proper name; transliterated.
tr_img_08381,ICDAR MLT-2019,held_out_from_train,Bangla,শ্রীগুরু,Shri Guru,low,Shri Guru,low,yes,no,শ্রীগুরু | Codex failure: stream disconnected before completion: error sending request for url (https://chatgpt.com/backend-api/codex/responses) | Transliterated proper name/title.,শ্রীগুরু | Transliterated proper name/title.
tr_img_08389,ICDAR MLT-2019,held_out_from_train,Bangla,জেরক্স,Xerox,low,Xerox,low,yes,no,জেরক্স | Brand name.,জেরক্স | Brand name.
tr_img_08513,ICDAR MLT-2019,held_out_from_train,Bangla,উন্নয়নের,of development,low,of development,low,yes,no,উন্নয়নের | Bangla genitive form of “development.”,উন্নয়নের | Bangla possessive/genitive form.
tr_img_08525,ICDAR MLT-2019,held_out_from_train,Bangla,ফার্ণিচার,Furniture,low,Furniture,low,yes,no,ফার্ণিচার | Standard Bangla transliteration of “furniture.”,ফার্ণিচার | Bangla transliteration of the English word “furniture.”
tr_img_08602,ICDAR MLT-2019,held_out_from_train,Bangla,মানসী,Mansi,low,Mansi,low,yes,no,মানসী | A Bengali feminine proper name; transliterated conservatively.,মানসী | A Bangla feminine proper name; transliterated.
tr_img_08619,ICDAR MLT-2019,held_out_from_train,Bangla,জেরক্স করা,Photocopying,low,Photocopying,low,yes,no,জেরক্স | Bangla phrase means making a Xerox/photocopy.,জেরক্স | “Xerox” used as a verb.
tr_img_08886,ICDAR MLT-2019,held_out_from_train,Bangla,জনপ্রিয় বস্ত্রালয়,Popular Clothing Store,low,Popular Clothing Store,low,yes,no,জনপ্রিয় | বাংলা phrase meaning a popular clothing store; 'জনপ্রিয়' can also be a business name.,জনপ্রিয় | Natural translation; “জনপ্রিয়” means “Popular.”
tr_img_08995,ICDAR MLT-2019,held_out_from_train,Bangla,পৌরসভা বিরাটি,Birati Municipality,low,Birati Municipality,low,yes,no,পৌরসভা | Birati is a place name; পৌরসভা means municipality.,পৌরসভা | Birati is transliterated as a place name.
tr_img_09011,ICDAR MLT-2019,held_out_from_train,Hindi,सुनिता,Sunita,low,Sunita,low,yes,no,सुनिता | Proper name transliterated from Hindi.,सुनिता | Proper name transliterated from Hindi.
tr_img_09075,ICDAR MLT-2019,held_out_from_train,Hindi,शाल,Shawl,low,shawl,low,yes,no,शाल | Hindi word for a shawl.,शाल | Common Hindi word for a shawl.
tr_img_09158,ICDAR MLT-2019,held_out_from_train,Hindi,औषधे,Medicines,low,Medicines,low,yes,no,औषधे | Hindi plural form meaning medicines.,औषधे | Common word for medicines.
tr_img_09167,ICDAR MLT-2019,held_out_from_train,Hindi,अमूल,Amul,low,Amul,low,yes,no,अमूल | Codex failure: stream disconnected before completion: error sending request for url (https://chatgpt.com/backend-api/codex/responses) | Brand name transliterated.,अमूल | Brand name preserved.
tr_img_09277,ICDAR MLT-2019,held_out_from_train,Hindi,अमूल,Amul,low,Amul,low,yes,no,अमूल | Brand name transliterated.,अमूल | Brand name; transliterated.
tr_img_09285,ICDAR MLT-2019,held_out_from_train,Hindi,पाम,Palm,low,Palm,low,yes,no,पाम | Common Hindi transliteration/word; likely a brand or name.,पाम | Likely the English word transliterated into Hindi.
tr_img_09359,ICDAR MLT-2019,held_out_from_train,Hindi,वेणू,Venu,low,Venu,low,yes,no,वेणू | Proper name transliterated from Hindi.,वेणू | Proper noun transliterated from Hindi.
tr_img_09416,ICDAR MLT-2019,held_out_from_train,Hindi,राजगड,Rajgad,low,Rajgad,low,yes,no,राजगड | Codex failure: stream disconnected before completion: error sending request for url (https://chatgpt.com/backend-api/codex/responses) | Proper noun; transliterated.,राजगड | Proper noun; transliterated from Hindi.
tr_img_09485,ICDAR MLT-2019,held_out_from_train,Hindi,बेकरी,Bakery,low,Bakery,low,yes,no,बेकरी | Common Hindi loanword for a bakery.,बेकरी | Common Hindi loanword for bakery.
tr_img_09496,ICDAR MLT-2019,held_out_from_train,Hindi,मनाली,Manali,low,Manali,low,yes,no,मनाली | Proper noun; transliterated.,मनाली | Proper noun; transliterated.
tr_img_09512,ICDAR MLT-2019,held_out_from_train,Hindi,शिवम,Shivam,low,Shivam,low,yes,no,शिवम | Proper name transliterated.,शिवम | Proper name transliterated from Hindi.
tr_img_09522,ICDAR MLT-2019,held_out_from_train,Hindi,रायगड,Raigad,low,Raigad,low,yes,no,रायगड | Proper noun; transliterated from Hindi.,रायगड | Proper noun; transliterated from Hindi.
tr_img_09536,ICDAR MLT-2019,held_out_from_train,Hindi,रमेश,Ramesh,low,Ramesh,low,yes,no,रमेश | Common Hindi male given name; transliterated.,रमेश | Proper name; transliterated.
tr_img_09714,ICDAR MLT-2019,held_out_from_train,Hindi,अरिहंत,Arihant,low,Arihant,low,yes,no,अरिहंत | Proper noun/brand-like term; transliterated conservatively.,अरिहंत | Proper noun/brand-like name; transliterated.
tr_img_09727,ICDAR MLT-2019,held_out_from_train,Hindi,नटराज,Nataraj,low,Nataraj,low,yes,no,नटराज | Proper noun/brand name; transliterated.,नटराज | Proper noun/brand name transliterated.
tr_img_09913,ICDAR MLT-2019,held_out_from_train,Hindi,औषधे,Medicines,low,Medicines,low,yes,no,औषधे | Hindi/Marathi word for medicines.,औषधे | Plural form meaning medicines.
train_ReCTS_018099,ReCTS,val,text,大家烧豆腐,Dajia Braised Tofu,low,Dajia Braised Tofu,low,yes,no,大家烧豆腐 | Likely a restaurant or dish name; transliterated “Dajia” and translated 烧豆腐 as braised tofu.,大家烧豆腐 | Likely a dish name; “Dajia” is transliterated conservatively.
train_ReCTS_018127,ReCTS,val,text,牛丸面,Beef Ball Noodles,low,Beef Ball Noodles,low,yes,no,牛丸面 | A common dish name.,牛丸面 | Common food name; 牛丸 means beef balls and 面 means noodles.
train_ReCTS_018262,ReCTS,val,text,大远饭店,Dayuan Restaurant,low,Dayuan Restaurant,low,yes,no,大远饭店 | Codex failure: stream disconnected before completion: error sending request for url (https://chatgpt.com/backend-api/codex/responses) | Likely a business name; rendered as a natural transliteration.,大远饭店 | Codex failure: stream disconnected before completion: error sending request for url (https://chatgpt.com/backend-api/codex/responses) | “Dayuan” is a transliterated name; 饭店 means restaurant.
train_ReCTS_018483,ReCTS,val,text,木子米粉,Muzi Rice Noodles,low,Muzi Rice Noodles,low,yes,no,木子米粉 | Likely a shop or brand name; transliterated 木子 as Muzi and translated 米粉 as rice noodles.,木子米粉 | Likely a shop or brand name; transliterated 木子 as “Muzi” and translated 米粉.
train_ReCTS_019003,ReCTS,val,text,壹號冰室,No. 1 Ice Room,low,No. 1 Ice Room,low,yes,no,壹號冰室 | Likely a venue or restaurant name.,壹號冰室 | Restaurant/cafe name; “冰室” is a traditional Hong Kong-style cafe.
train_ReCTS_019145,ReCTS,val,text,酸萝卜乌鱼,Sour Pickled Radish Black Fish,low,Sour Pickled Radish Black Fish,low,yes,no,酸萝卜乌鱼 | Codex failure: stream disconnected before completion: error sending request for url (https://chatgpt.com/backend-api/codex/responses) | Likely a dish name; black fish refers to snakehead fish.,酸萝卜乌鱼 | 乌鱼 refers to black fish (snakehead).
train_ReCTS_019194,ReCTS,val,text,九禾烧烤,Jiuhe Barbecue,low,Jiuhe Barbecue,low,yes,no,九禾烧烤 | Brand/store name; transliterated 九禾 as Jiuhe and translated 烧烤 as Barbecue.,九禾烧烤 | Codex failure: stream disconnected before completion: error sending request for url (https://chatgpt.com/backend-api/codex/responses) | Likely a restaurant or brand name; transliterated name with the food type translated.
train_ReCTS_019535,ReCTS,val,text,REALM,REALM,low,REALM,low,yes,no,REALM | Already English; preserved as written.,REALM | Already English; preserve as written.
train_ReCTS_019587,ReCTS,val,text,一碗好粉,A Bowl of Good Noodles,low,A Bowl of Good Noodles,low,yes,no,一碗好粉 | Natural translation; likely a food-related shop or sign.,一碗好粉 | Natural translation; likely a food-related slogan or shop name.
train_ReCTS_019704,ReCTS,val,text,肉的主题,Meat Theme,low,Meat Theme,low,yes,no,肉的主题 | Literal translation.,肉的主题 | Literal translation.
train_ReCTS_019850,ReCTS,val,text,川妹子活鱼馆,Chuan Meizi Live Fish Restaurant,low,Chuan Meizi Live Fish Restaurant,low,yes,no,川妹子活鱼馆 | Restaurant name; “Chuan Meizi” is transliterated.,川妹子活鱼馆 | Restaurant name; “Chuan Meizi” is transliterated.
train_ReCTS_019875,ReCTS,val,text,青田寿司,Qingtian Sushi,low,Qingtian Sushi,low,yes,no,"青田寿司 | Proper name; transliterated, with 寿司 rendered as Sushi.","青田寿司 | Restaurant name; transliterated, with 寿司 rendered as “Sushi.”"
train_ReCTS_019927,ReCTS,val,text,泡面小食堂,Instant Noodle Cafeteria,low,Instant Noodle Cafeteria,low,yes,no,泡面小食堂 | Natural translation of a small eatery specializing in instant noodles.,泡面小食堂 | Codex failure: stream disconnected before completion: error sending request for url (https://chatgpt.com/backend-api/codex/responses) | Natural translation; likely a small eatery specializing in instant noodles.
